Company_real,Company_ID
3Com,1.0
AboCom Systems,2.0
Acer,3.0
Airis,4.0
"AIRO WIRELESS, LLC",5.0
Alcatel-Lucent,6.0
Amazon,7.0
"Amoi Technology Co., Ltd",8.0
Anydata Corporation,9.0
Apple Inc,10.0
Archos,11.0
Argox,12.0
Arima Communications,13.0
Asus,14.0
AT&T,15.0
Axia,16.0
Babiken,17.0
Barnes & Noble,18.0
BBK Electronics Corporation,19.0
BenQ,20.0
BlackBerry Limited,21.0
Blaupunkt,22.0
Bluebird Soft Inc,23.0
Bsquare Corporation,24.0
Camangi,25.0
Casio,26.0
Chi Mei Communication Systems,27.0
Cincinnati Bell,28.0
CipherLab,29.0
Clearview Technology,30.0
Commtiva,31.0
Compaq,32.0
Coolpad Group Limited,33.0
"Cowon Systems, Inc",34.0
Coxion,35.0
Creative Technology Ltd,36.0
Data Evolution Corp,37.0
DataWind,38.0
Dell,39.0
Deutsche Telekom,40.0
DreimGO,41.0
E-noa,42.0
"E-TEN Information Systems Co., Ltd",43.0
EKEN Electronic,44.0
enTourage,45.0
Ericsson,46.0
FirstOne Technology,47.0
Fourier Systems,48.0
Foxconn Technology Group,49.0
Fujitsu Ltd,50.0
Garmin Ltd,51.0
Geofox Mobile,52.0
Gigabyte Technology,53.0
Google,54.0
HandEra,55.0
Handspring Inc,56.0
HannStar Display Corporation,57.0
Hewlett-Packard,58.0
"Hitachi, Ltd",59.0
Hongfutai E-Tech (Shenzhen) Co. Ltd,60.0
HTC,61.0
Huawei,62.0
Hunan Suning Pioneer Electronics,63.0
I-Mate,64.0
IBM,65.0
iconX,66.0
Inq Mobile,67.0
Intermec,68.0
Into Blu,69.0
Intrinsyc,70.0
Inventec Corporation,71.0
Join Technology,72.0
"Kinpo Electronics, Inc",73.0
Kyocera Corporation,74.0
LavaæInternational Ltd,75.0
Lenovo,76.0
LG Electronics,77.0
MAG Digital,78.0
Medical Phone Ltd,79.0
"Meizu Technology Co., Ltd",80.0
MENQ International Limited,81.0
Micromax Informatics,82.0
Microsoft,83.0
MiTAC International Corp,84.0
Mobile Compia,85.0
Mobile TeleSystems,86.0
Motorola,87.0
Navigon GmbH,88.0
Navon MIZU,89.0
NDrive,90.0
NEC Corporationæ,91.0
Nokia Corporation,92.0
Notion Ink,93.0
"NTT DOCOMO, Inc",94.0
O2,95.0
Olympus Corporation,96.0
Onkyo Corporation,97.0
Opticon Inc,98.0
Optima Technology ,99.0
Orange UK,100.0
Oregon Scientific,101.0
Palm,102.0
Panasonic,103.0
Pantech,104.0
Philips,105.0
Psion,106.0
QiGi,107.0
Real Aegis Technology Group Limited,108.0
Rogers Wireless,109.0
Roper Technologies,110.0
RoverComputers,111.0
RoyalTek,112.0
Samsung,113.0
Sendo,114.0
Sharp Corporation,115.0
"Shenzhen Ainol Electronics Co., Ltd",116.0
SiemensæAG,117.0
Sierra Wireless,118.0
Silicon-i,119.0
Simvalley Mobile,120.0
"Socket Mobile, Inc",121.0
SoftBank,122.0
Sony Corporation,123.0
Sony Ericsson,124.0
Spice Digital,125.0
Sprint Corporation,126.0
Sunno,127.0
T-Mobile,128.0
Tapwave,129.0
Tatung Company,130.0
TechFaith Wirelessæ,131.0
Telecom Italia,132.0
ThinkNavi ,133.0
Tibo,134.0
TORQ,135.0
Toshiba Corporation,136.0
Trimble Navigation,137.0
UMI DIGI,138.0
Union Rich Development Corp,139.0
Unitech Electronics Co Ltd,140.0
United Internet,141.0
Vadem Ltd,142.0
Verizon Communications,143.0
Verzio Mobile,144.0
ViewSonic,145.0
Vodafone,146.0
Wayteq Technology,147.0
Wistron Corporation,148.0
Xiaomi Inc,149.0
Yarvik Nextec,150.0
Yukyung Technologies Ltd,151.0
Zebra Technologies,152.0
Zenum,153.0
Ziss HongKong,154.0
Zopo Mobile,155.0
ZTE,156.0
